"","F1","F2","F5","F6","F7","F10","F11","F12","F13","F14","F15","F18","F19","F20","F22","F23","F26","F27","F28","F29","F30","F31","F34","F35","F36","F37","F38","F39","F42","F43","F44","F46","F47","F50","F51","F52","F53","F54","F55","F58","F59","F60","F61","F62","F63","F66","F67","F68","F69","F70","F71","F74","F75","F76","F77","F78","F79","F82","F83","F84","F85","F86","F87","F90","F91","F92","F93","F94","F96"
"Q06210",1653.48081475529,1811.67625896454,1922.99701247278,3079.7358465573,2367.00137421777,2791.2216030115,3171.70611552177,7256.1735489999,0,1624.0459463078,8105.91434290974,2526.13861925777,2526.72177005064,3994.37889302833,5380.16257683242,2921.31429755582,5590.60200818679,2221.37844954928,8322.3516266822,4928.18147191759,1764.81660866372,2452.63381539645,2765.29908228275,1826.34766014589,3596.48766136615,1940.2841975026,0,2993.5323663234,2082.72462676043,3666.09522164627,2569.49301103375,4808.02235851246,2445.70180772258,3277.98788941662,6928.8078239046,1135.16245139608,1934.66662099565,3973.67708433825,1327.94369752842,2089.75548464892,3808.3537587041,1985.1293847507,1431.47538843581,1784.62140513702,2442.32956848968,6039.21402989787,3999.14819105872,6684.94995903928,3727.64441020071,2725.51290510114,7131.00394802258,6599.04256303716,4354.7985976827,4154.32695442965,4752.75102015242,2253.22289323114,1714.08728480935,2315.38771990595,2494.09750787456,3488.9464372994,3297.76967217814,4663.5088452311,7150.1895334833,2291.10127584336,2840.28513781067,0,1894.13454384446,5059.97175961689,5393.94111198984
"O75663",12865.5297289494,9850.88829470407,7545.31389113888,12110.6805568612,7185.2220046451,11945.41550565,4905.7334680532,6940.42006310827,11101.7451325592,3927.88518154219,11125.1998442756,4110.59612159125,6653.64822765341,6884.3754681799,4096.0662596853,8603.98329942148,5668.58915587877,7529.07364295,7493.19187427546,5534.00488116677,8538.84194961885,14127.5954233344,9571.87013671746,9686.27185200298,7276.68695231157,9687.6609910344,7262.30664728735,8992.4124314415,6060.91104260368,6630.5646004362,3251.61004186376,6843.8764532949,9382.52206730307,10773.402072024,14199.731759701,9906.22170985072,8261.64545645565,9923.22421539333,4455.33088214983,8198.87316572927,5237.74481422489,9504.21843360252,10940.2573850346,10527.8644484859,10303.0261123455,6249.86097020107,7010.23077292194,10039.4650889771,8771.80384641427,10348.0730897988,9684.66157501128,6430.32479835478,9216.8090326535,4696.42477681291,9918.78450232471,8095.91473353745,8139.37224226427,9090.36451690999,11036.317571535,6299.94756181768,10071.5516639801,12411.016732877,5554.25884425646,8547.78561748486,3134.51973544599,3206.73130188823,13544.3496437432,9004.62492204198,8308.61067816565
"Q16643",5559.66825728624,9781.41221754427,9517.57580307285,7673.33648598843,13057.7003675971,12444.1933124052,10624.3364809525,5773.38728350403,4625.56614238636,9490.84856120519,10953.2344901372,9417.50402238866,11785.0083509255,14597.4216689174,12621.3571981119,10592.1518773482,8923.00136597944,6511.45597481832,4678.84064318421,7405.35518713045,9173.97665104554,8380.10277749796,7823.40335241529,10830.1331978629,2459.43976252016,10957.4888280048,1403.98072498122,3994.19050934328,6197.79152992454,7638.74548696175,12331.6379771821,5819.00044039993,14437.177144372,1899.68621104059,6154.35346832203,8920.78844569182,5978.59489029888,11072.0614071809,4574.75911192609,10090.4521036736,7530.8533600128,4664.42635024378,11063.0872081973,8093.06296725626,6601.53684737732,10871.1124202726,10033.8011241172,3538.06858074504,10440.6015785541,9231.83307032808,8838.27049427142,13099.4988464728,2569.18340766263,11950.9068251854,11373.1700872612,13298.492391807,7072.78314750569,12631.6976804459,4028.33692498293,9040.69416747722,8721.9440379342,6794.33354214024,7107.585209311,12068.3734247662,2442.17953080571,1973.33497512837,3919.56495889605,8869.98471856948,9258.95390267482
"Q8WWM7",12419.5738726766,9016.1598107992,10229.5954693067,7184.85565982389,12868.2928621635,11534.9910466506,11892.6041813284,7730.96531788856,3239.13658191771,4619.98971535411,9365.25726735315,13406.5393984318,9488.15725998124,7152.26194664573,14481.3264655801,9059.34892358278,9399.54853131849,8739.08648927862,11015.9132910131,7137.74306802864,3774.46373831579,12059.4064353124,10079.6659080139,14157.7994576469,7945.25552777433,2050.82068886977,4267.60319098411,10991.7162191356,9842.09079333512,5340.95321450002,2022.19271806286,8235.75319076735,10534.7602034303,15766.6773036186,6135.73118495347,9208.0822742224,5875.14593052574,11749.5426503976,5550.40364140267,6948.23662552763,8915.2322810478,10071.9176018705,7917.77257377896,10284.0248899404,8048.40921568493,5643.68703744176,3556.20227023384,9523.85730921447,7364.48019332892,10102.5894705976,11164.9771532504,2983.05996910488,4685.29762652489,9531.76014083492,2273.04583105185,10737.6687945606,7619.63823098424,8624.08195527173,12942.4758388484,4136.53665802,10404.3434506841,11301.4317350888,7575.39494161983,3479.12935316545,7416.56435458845,9950.34682162455,6364.75957594696,3058.62450506272,9577.92958299584
"Q9BXP5",3148.79371305108,3571.00506872019,2611.53704705065,8128.35864060451,2776.17459152592,6565.57903353645,6143.32693171083,3813.19211017831,5352.43959024429,7572.48341956877,4646.59935734992,8773.60576085059,4897.01972469465,4492.47602867509,6653.24586592634,5778.71338666961,5160.27278831256,5228.54135546012,6701.28819728194,5189.73047615467,2647.98979525674,4775.06721876028,3599.3944682194,6003.39928770703,5452.60204222133,3320.24208948625,5116.65740264487,6316.34915866135,5396.93448713159,7600.27305216038,2250.77907032309,4401.09941255192,6433.61841815367,5258.5410198714,4236.13591708688,1700.19013564658,7074.00084654636,5224.56816946025,5530.67971018381,2380.5466944998,5357.13415525726,2316.92442621969,2250.66875841708,3731.73475959655,6460.77978325259,7990.88606234586,2451.94826879625,6403.7672369457,8348.74690214142,4682.40196643844,4442.01299624051,8003.94380877389,5308.85577748402,2261.63330595371,3634.43053226072,4335.80190628257,4788.80503648316,2487.85074876207,5564.98689235947,5441.21167758963,3847.55804132882,4395.75213713069,7317.85794567177,7287.04092590428,3703.52269568649,10811.5592211893,3506.6679996601,8998.08394214435,6392.29418523783
"Q13085",11051.3510301821,3259.12951793391,8857.92991812319,5590.61622198926,4598.99563077631,5971.42583308679,7071.33490202791,1775.23731800964,1999.65726217583,3462.29629355013,3194.84711024455,2812.24328871007,7165.51112371156,4980.30766038247,7721.0540904194,5954.34437207954,2562.24186421941,6414.56311551318,5230.0428333701,8720.4182709314,4572.37974727749,6199.1453830407,5742.14145478596,12162.448025709,2292.56574578355,10810.7011789736,1789.03796540141,8457.77443547849,4979.56151355018,6699.44443818723,1760.67354163619,5148.38777851918,4261.53489247084,6127.54015371527,4024.02397184339,4990.4133336807,3695.06085904733,12936.8485580864,3068.53668369411,5989.84691332892,6167.98654265689,5091.56635145659,7363.74913043188,4195.34626719505,5570.33551316878,3993.43830077887,5896.9746543947,7095.20448961196,3448.66127689739,5918.02290695483,3621.37936440724,0,2427.39067440813,7037.15074799225,1244.60792038588,3441.24102496208,6155.47244584445,7065.01779179019,7344.46697362324,3512.53193668153,8583.37708214925,5478.27238313011,4443.35052247652,0,1908.66176321882,1529.67117018601,7266.52558120287,3573.70299893299,2643.05218790719
"Q96G03",2213.52903200787,1220.74159795861,2738.79300225292,1436.84400460382,1678.07942254857,0,1866.32365384035,3161.64686917393,0,0,4849.17688338424,3579.14271753137,3568.4613848231,2148.17727107912,4049.48272213547,4405.31420122933,0,2270.94273090366,3701.27022429865,2086.04437987047,2774.98498443825,1779.54740584973,2090.22098452849,2410.22012355731,1703.35800561909,1765.4286382467,1487.04108637279,1818.02477255217,4669.61415594543,1304.26377685186,0,1812.14505102925,0,0,0,0,3638.21338351638,4972.68966885765,1396.23209382522,4656.7236485181,0,1289.87434615535,1430.91445488965,1948.47262428394,4933.25985345147,4912.87405701574,4727.27663084966,0,4679.82826994457,4504.42160819193,427.041771318622,5027.55067070265,2625.60946346178,1638.8185463569,0,6492.94124770039,1697.62531844522,2656.59949961567,3384.70643119235,0,1082.47425831354,1426.26308853675,1724.13626519401,0,0,5459.11108600978,2255.1261874703,0,1466.47756171769
"O96019",4866.02151054627,4105.16850774738,7795.38669196105,5088.58440978825,755.385682546973,0,3895.3315441681,10378.6450692932,0,8315.66614746877,6178.57640923219,7694.71841073811,3538.38965703867,1014.81883807216,6818.2681795813,5298.82998135991,0,4059.58351392086,3258.27191653336,3867.06473834166,8248.83750219602,5205.08360306968,6153.13995593834,6927.38241733559,6428.96755932501,9313.1923993408,8669.61363291364,6669.30140054557,7234.49353737032,4745.21569750729,0,6578.54273298468,5095.79785088654,7569.98042830919,11109.1858989626,5058.0950657581,13231.7381200605,3453.27279749293,9867.80256563945,7917.36827352226,1290.4130890283,8608.40180157867,12519.0075147408,6720.35000265026,8074.99807545901,7055.81903081381,7747.83493170352,5343.95050629333,8350.92330102509,1785.62742087651,11781.8717915578,0,16313.8190652709,7238.56935353824,9620.31788510767,9214.13303951999,4416.06819721965,9357.93610122613,7431.17745892264,5398.91441990701,7112.24603220076,6630.16723168709,9036.17800912789,5951.49862425079,7953.75615537553,7176.45236219556,7138.50295475107,0,10846.5837506572
"Q15942",4629.86120688335,13287.3822637776,17292.3032379513,11499.9818712684,7851.14730860701,13360.729219012,12649.8065583401,10790.0455851448,14039.1279672705,11292.5455143161,18810.6839354014,11052.2179305874,6596.62455378188,5897.71260289877,9141.5537235673,10881.7940184122,7998.25232402071,9631.35086229663,7919.67832141054,12016.7161377688,9452.71546159695,15286.6059434313,17846.7648195382,13191.8663153271,14276.8351268612,12170.0352203525,5567.69678972993,16676.9742070475,16768.7181301471,9837.99718889715,5643.73059930738,9650.45622702153,8217.36265162872,11053.6367158532,13106.2991446774,8249.94287877439,11548.9157173236,14222.4114951927,16492.8964703134,13921.2929029765,9707.69226522226,9655.26664582882,10567.6867547475,10530.0007318085,18156.5959756534,14732.8642343985,14869.9483657857,11131.9805468083,21482.3884019469,13249.4052213607,7745.92987122541,12136.2784919696,9195.21758939777,8766.39784095485,10193.5350776909,14892.0665309072,10543.6185908569,13018.0510311426,14666.2989463055,11292.8366627802,17399.8341790729,12429.3690986674,14725.0286833611,11205.2856893525,12033.2405421048,10737.2308909665,13223.1435851591,14693.5975645799,9334.34904106353
"O00303",6087.2619566316,8980.97539927196,5435.88402529892,4379.01518738786,3778.86807171495,12548.8583678763,5847.97533798012,9899.82332209581,5065.11472456693,7329.12529217267,9060.76438282327,6507.87552388453,6561.9976311618,4348.74326136987,8866.84363662436,5660.27052475382,8619.22791455935,8150.03714199842,6748.62326035843,8343.71124468977,7968.97088561565,6449.93639430411,7973.18935081245,9402.18600306044,5426.67193737939,5338.4433750454,9407.88734987988,5311.11546830334,6970.91866690725,8810.86071618392,7696.85523450674,5391.03581041535,7037.95361077855,9232.86171824197,7676.29245192531,13471.1268007482,9300.24791448035,8151.48284195628,6583.54159767433,7034.01309567374,4954.29861908302,9362.5079073654,8466.59209267528,5921.74024607207,10098.696621018,5766.71648670122,6667.103514127,1483.74555350421,5574.51587890877,5670.63964555176,6476.11316118138,4394.07015216209,5808.57833237834,8507.67918905137,3288.78922038078,6602.44755688163,3182.59839952113,6887.72974117687,6888.24317409309,4191.07062289415,5590.01759737754,7438.31087198763,9411.51439924194,5690.86771470556,1419.07138565209,5296.23333193952,5431.83978452421,6782.98899415734,3460.40199727781
"P61158",32017.3889909409,25894.6454880748,37877.1468677129,30668.1309691579,44175.0552899516,43654.9500791888,31420.0736817921,47268.0994467549,38881.375591391,38485.9012262195,43622.4663422396,37042.177558842,37091.6652706187,66809.8031804775,37185.6118287604,43884.7588752772,48206.4178446343,38902.8839215958,40988.4358343415,37414.2794669097,43320.725678775,50485.2504421462,30158.984211594,38372.22392957,33140.817121262,47000.0674198588,53231.8158848685,42837.8918297977,41704.7181194525,42982.2103739286,38004.0307153375,41169.9982471991,63908.5778403931,44390.7080972565,49042.7285354792,54297.1119342191,47231.1752449401,36172.933429468,41181.0116167371,48343.4907912967,37606.055465367,38143.9286078826,54337.6693953928,45258.7301630147,38420.5686151153,48305.9689942399,39264.3522533331,61705.535754796,34654.4213160333,37372.2500632415,30588.722149749,58288.2183562278,32903.0524827269,40898.0933089255,43979.8926891349,45048.8366748127,49482.2041074295,53468.294205477,50474.9231697583,54836.0491316927,42853.0420672137,50118.0608296549,29769.5805461908,51006.0883345477,67021.5021572925,47569.8136814365,69126.0714297142,87884.7694131312,36915.4752546553
"Q9Y3I0",5726.1365628837,4148.02821192587,5298.05902795045,2218.5419021851,4795.78557385347,0,3104.16629288675,3699.05367882123,2374.71045087553,4055.26140246054,4997.62115857645,6692.52815210867,3521.86876658083,5465.28365501155,7071.27396756709,3748.44281304956,5006.62729135276,6591.96557588214,5425.86052118251,4678.85533638529,2985.10140256452,5247.81666212856,5586.79339916351,4933.60945037057,3364.79822956217,3903.96034560039,4350.19873884165,4433.98327889924,5560.9124484595,4139.12921443568,1896.48244345833,3872.32493612253,4882.92792243489,4174.32678158927,3100.16478176911,3973.5286063233,3686.84113744648,4264.17632441668,3905.78841459361,2553.91789922171,4730.31623750389,4846.61834124941,2408.74677896285,4622.69477460119,5689.12624420226,4028.51932565573,3992.42398600688,4325.34655849297,4569.78745557914,4332.64988950495,3710.11438849727,4921.27294829213,3685.45111566248,3771.34486120575,4312.64006934763,4351.8182013846,4061.29333892006,3419.29395732663,4333.83677462888,4222.31562272819,4261.42161149665,5253.65847494692,4333.57250164119,0,2435.47932383851,5015.368480746,4673.58446532841,5592.10589046128,3694.32897900937
"Q15370",47845.691552462,34028.4289188748,46794.1330323695,49742.8317044392,50125.337755973,42215.7783719807,42111.186808056,29145.7046857962,28654.6222056159,34669.5745039726,36765.3861054109,25806.3516104773,43949.3437000375,29431.5022171354,34290.5624160921,40452.0766494855,38457.6906338005,36405.0899799626,31488.1934327615,40299.9034359303,36391.7017064538,37167.9814094247,40591.1248050465,37534.1180075609,29025.5693482156,30316.5552814321,28072.7029956747,41244.542304842,35426.762275976,31285.3229462107,35310.7080656435,31565.0867224248,33761.8416570803,39061.5226200213,26920.5982622667,35610.6806730421,34543.9580981671,40758.0539974108,37747.7534193418,38933.5093943991,39338.7557596581,41990.0536513008,44371.9402415329,32784.3598700018,39681.3033631261,28116.6349277148,38465.1016355017,38769.6001254712,32787.330711596,45433.969976624,35375.2544789117,25658.5839787245,28770.3914510058,40300.502398039,35535.3094571795,40743.9368427923,34616.838090547,40144.4389851797,44463.5601765818,36578.4654234189,39026.2770986417,35296.3201374959,22547.1999520346,29731.1811322128,28115.1718505401,34973.9824232778,40185.5426070502,14747.405883282,33646.7705483246
"P30044",15456.0334361844,24580.3575012663,14284.2995331631,19008.4404557056,24123.6337171282,11060.7259487773,22668.8142798738,26203.7667450865,13705.0981896336,11360.8981430262,21066.6783100621,16177.5449433109,21562.2488034426,12947.306653441,21839.0061934823,20607.3681908126,10213.6559205704,22105.4688791646,15492.4449158868,13372.141832009,22100.754048019,15308.5520761805,17709.7477430334,18717.3726578195,14177.1153146126,30162.12500321,25829.5745779578,16431.1700041363,17093.5641681885,13322.0679923589,23054.5819961573,16618.6938223286,16608.3126241054,27504.1462283963,12715.2051571619,12331.1922048771,21340.9364933529,29224.3670066713,13245.4590362707,14635.1107257569,13497.7105746369,16425.5746120885,23019.2734756473,19148.1502074514,21398.5598475229,13072.9560758747,11461.9221233558,22772.9475614083,13629.2274996765,16444.514773595,31198.8794830083,21131.8473069491,15235.0771933949,19843.9288270225,12605.5284623981,22882.6249183379,17873.2457316069,18650.5996154256,18417.8847479602,23652.8807167148,21360.3844589415,18259.5354255983,17916.0243918039,11250.1480397834,19413.871961866,14852.9287163017,15787.3160348142,24093.2600401197,20952.7541906294
"P53618",12091.8844885543,11148.2660222574,10523.3265841371,14007.8138715893,12474.1024876383,12672.6794737821,11005.5985758042,13069.5112288495,7746.2618925046,11217.170082128,14201.7110576823,19925.2726014608,13123.7724953383,11451.5755492056,8157.37003100368,4924.09607494524,7347.34435407292,11995.3326401059,8498.53631051563,13061.2774155076,9148.74759188384,9810.07661204727,12547.9949622926,12630.8513826866,4971.8208798247,11497.8733245042,10437.9754377781,8669.75429696932,10753.8982317402,6172.49903053625,15123.9213217993,9665.20123218465,6176.1378674322,13456.0739048979,10796.2437248744,7288.8467962021,9941.27432668327,16789.7055662409,10408.3553645748,12677.8548820361,10628.9918819377,11035.8936314809,11361.7554325261,10223.5333726075,8421.73599263374,4660.823059947,11490.809731152,11134.9561455843,8426.29508678739,10006.7104694521,14669.4168915834,10684.0114808682,8191.92006515726,9405.90545815126,14579.4017162808,13110.2966968275,10339.915946681,13790.2375247552,10335.2157824365,12944.0378184238,12422.8341888832,12351.4980278915,9475.81849996965,12005.4116112693,12481.5423897229,10290.9724721874,6579.24197446897,10384.4787207721,7809.60784082254
"Q9NX63",12488.6565155889,8502.60131139773,10017.2392323169,10181.7335919182,9563.62995342701,18240.2536613768,11764.9028869552,9692.83861133152,7572.430455856,10091.7507037387,16727.5409149273,9919.92463884947,10990.2799926864,8071.5237571191,12305.7719019258,10593.2244180906,11253.4089393407,6382.74809216946,9692.23273500949,9257.63970102188,7971.10621965447,9879.08088161354,9939.24576031856,9813.56793826362,7602.89225191126,7324.66216162279,7720.48704542196,10574.4757560352,18961.8518707888,13337.0909729546,11436.5373846821,14855.2668505348,16946.9146237186,14611.5146087357,11849.0701959868,8146.79018386498,11303.3580155889,7170.21361416075,9319.17203805205,8202.60345241885,11096.7147040945,7637.17399107909,14544.3362524049,8669.86026355819,11216.3629473836,12066.0531980215,7317.76211800257,6076.55438718637,11224.6033591506,9528.85540153781,10089.1909704396,13049.7894981748,6551.30715859119,10522.2353128927,14125.3902522735,5931.61650137531,13249.0521980531,9356.27892750071,10861.5015122614,7788.56142625592,4994.69771968032,8823.66668552399,10299.0327768216,10206.3155115396,10236.8664093016,11252.412063205,12085.5073290306,10026.8297757739,11065.019898947
"Q9Y6C9",7442.72650996276,6136.45540589738,6647.42681780433,5638.00719696661,4895.07563343132,5599.07401615289,7303.38890423161,11643.8945013427,5997.28226238336,8474.55715101962,7610.02800635227,8081.3512448899,9664.5948346395,5804.94392971262,8116.5785725969,6746.10363274016,2911.36930747436,5522.89411732956,8803.34270853514,4730.92492802324,6975.5716006326,9741.49698416398,8106.28213211228,9303.95013065947,3789.48972458787,4135.85170581107,8301.66895307138,3391.26678476735,11313.500404243,8178.20152497682,17197.0039992031,5341.19105929221,3696.09884398838,7105.37383956278,9321.90164312779,7448.25631575922,9438.19398538416,6830.71180304868,10022.3332679128,8385.73440185596,8765.57362648569,12112.7012243704,9509.34621101523,9749.87930201667,5196.0957988498,6974.56822613441,7800.39308604038,9029.68884569046,7454.62074668438,9556.07048717482,7470.23303226675,5676.91705071516,12049.6468375287,9295.03683411314,9572.20302470314,8467.73084437842,7589.80718948415,7615.30975111328,9404.03912493715,4119.9171667071,9892.97737274198,9947.62481198989,11097.2171814899,2522.2413213473,6563.4553073709,8345.24141848283,7253.76332773726,5771.63137754091,10281.9680491477
"Q7L014",9991.11596353496,12670.8530679724,12960.8790820653,19675.0531197903,11759.7118272446,8461.39636487188,11039.1792003454,1934.11422513995,10616.0693843799,16765.2742738512,8821.47158297768,14416.0655552217,9476.8074140178,7100.76983510758,7529.20841849283,13021.9117526162,11508.1508592409,9662.27951564043,14526.8832798548,3424.50249901481,11631.4016899436,14922.8871395046,8062.19043331783,15237.9305362228,13589.7192916555,7988.733508427,14705.5683290774,10614.7721973018,15241.6107572539,15017.8683476254,19225.1925466527,16434.4884771918,5615.88297254392,8676.43347994268,7345.1179388659,15828.457940302,17407.9821048501,11996.309111339,12140.0247143755,11555.7783990907,10514.9071173184,14910.7149456073,8282.47491733778,7769.71495864819,13459.3407924149,13951.721998139,17886.0502224452,13745.0972970402,18192.2934208072,9586.55967169553,20351.7502194796,8735.09351791035,16196.2470778477,12944.9858022043,10911.3618027268,9647.22549533528,17802.3186263266,9162.76532209828,11133.9896714123,7980.63021514393,10116.376377431,10883.4059774096,18633.8277612817,7928.89782169037,6849.93707356955,11636.4859115418,5982.95284173454,11538.200725573,13166.0298446511
"Q9NXG2",5160.07599802378,4040.81991827186,7018.27230277026,8796.29212763583,4475.34574677149,9349.94224754846,6606.72175559186,10299.3933611725,7851.66332724452,10149.3928528106,8807.70480425525,18261.7719431443,9842.92662364164,11563.3619187588,9119.99405646885,8059.42529673099,8941.65812932687,11473.0644751815,12025.0604342942,5032.16742359196,7516.56869473789,10124.005861158,8169.54470294126,5513.82171203497,7691.85639992062,2910.04157667707,6198.31934190675,8863.08556651741,12692.783224239,10067.0669187823,6513.11265798054,9110.69885411292,9527.26718219319,7957.55836986708,16174.8314993628,5738.52251211391,11340.0508938041,7138.24752670379,7536.41783604924,9042.69749478129,6304.20519901635,9747.09739754123,8120.94868745165,8196.55048289042,9246.24005416358,7250.1786014755,8750.01058574018,8381.670419189,12303.1958657947,7541.2898123898,7856.9623448619,9866.57857423236,7415.43634226595,7503.7193855724,5636.4773532726,8165.64815486919,3874.89879866182,5181.77978233815,7906.94523897361,8003.34647440021,12161.4336665663,10313.0984609593,9837.16753203766,8233.77017390429,10137.8567175844,15829.0403786593,10786.8524035193,6006.65295906403,10481.6643003845
"O43768",19470.1663060274,14018.6404352912,22141.6836355926,22152.2978501085,22650.303317809,23470.0643881105,16762.7583331966,15210.7998721733,14631.2870905726,13437.0795563071,16711.7361385952,9751.31134630468,18867.6317244488,12348.3090947757,20092.7856022865,13039.6710682685,19891.6272487674,14994.2412138567,16616.8987474125,16943.8223938613,20959.9114782115,19165.1006300232,25563.8563805062,20921.8666259611,14399.6090659541,14748.8056621593,13754.3887604706,16601.853706405,16702.995602614,15115.6527524291,16887.7528629464,14787.3149729052,18775.6216579984,20923.8296822462,23841.8561072759,16971.1217033151,16383.5766163441,14618.110021545,15735.1252194599,18796.1107092433,20598.6583440951,14655.1307231541,16445.1678716169,20028.5949325493,24241.3415447172,18550.0126995353,18189.2306899049,22200.9294639013,17295.6086332236,26926.8188530159,21887.4004924242,12965.9409064487,13221.3139276992,17153.9509732025,18614.0911054978,19085.8238512891,18007.362698477,14422.9454303036,21081.3244941319,17308.0646198693,25111.0690674345,17300.0920759481,12321.274137517,17870.1440234692,18900.0187101587,16220.9719246136,29612.8101384141,23968.1159082762,18314.6110517433
"Q9BWD1",19972.2630170227,23479.5049535093,19152.1836489782,18375.6751269153,21122.415880891,17782.5222726148,21576.4326066625,11554.0556203784,20088.128554619,11608.6425787317,20114.5451296529,16526.6135603205,18863.2887299795,12306.2420996664,28914.4149918907,20044.3428132274,11635.9749942125,26954.7992018161,14649.3016008794,15197.1348585768,16650.8217149673,19756.9916463908,20323.7221183384,18731.5886798097,15369.5675032658,13197.9718386301,23574.4625493845,17133.1976219685,19084.2915196631,15854.9337898296,19913.9862299572,13183.1553623327,17844.5476959378,19610.4633823015,13500.0150779673,16054.759389947,18618.7563270703,24582.1031834841,21745.7650840349,22580.7025328921,17945.7674258229,11492.3137911443,12486.5550414802,11116.3213074357,18989.1553325881,28315.9235756594,24220.4040639634,15776.8043443386,14479.5557174207,18555.4806896677,18532.0611952571,20412.8536927654,20218.6633122373,13252.4042017647,20060.7167571168,12225.7787203618,16354.2818623236,27414.1897625694,16070.298565309,12257.6615952747,39810.0828982478,20006.3428680445,21549.2564619904,13497.787909433,12689.5595462472,23015.6503184807,23604.9340271445,18836.7242652852,20784.8535570241
"Q01081",8588.38357269763,10008.4006072557,14419.6542572228,6839.18869735426,13850.2243108308,11738.3208729475,10645.3944544385,12294.9237916916,6822.11593785491,13657.2575177017,13261.3026723304,14269.817812561,8097.59286789494,13444.5890392838,10564.5140793122,12089.4233075972,11424.571895146,10631.0353684489,13272.2328124447,10739.202392469,11892.7045426262,11464.397603275,10947.8554772043,13114.7101016027,12450.2355174699,10591.5857794449,10945.2099291863,10875.7958407586,13291.581121567,11573.2589121156,13295.0978694751,12499.5644667241,8555.14133760311,12605.9037007583,10247.9618072172,7449.75189759932,9931.01953701178,10446.3648920117,15938.3926370686,8090.78100611911,11597.3452804604,11509.7109406545,7304.13175833913,10420.9875909325,10967.2463688324,10731.7285414387,11711.7358606736,13688.3355328145,11704.8064082609,12946.9683615989,11705.44230385,10115.1366983145,13346.337919746,6332.90613032851,5997.34066020826,11922.3262931477,11228.9565520581,6652.49750031752,7072.41442878144,6725.92267003463,7715.39305035469,2263.05450229399,12113.3744997092,12373.700551502,9575.41833469178,13305.0108523192,5568.17264348473,14316.3434954368,12399.9001123242
"O75367",21221.3157377104,32530.6337353514,18283.7159620407,25820.4090491427,25021.889828119,24937.7306313254,24130.0804607141,30095.8512382732,24578.5405312045,30449.3449233877,23364.5720239963,29662.8566542747,21142.4389053177,30096.0373774635,22155.5015947084,24300.6965704081,26161.6191350129,26788.9490241544,35300.2977082776,19947.4418049379,25840.2259968307,21608.0049852527,25454.4473395036,29770.0188240853,35834.2224269792,21252.1491888231,31569.848485553,17726.8007516557,30907.3033743821,25944.6292635792,34173.7307997374,27848.2452841197,25836.354320844,25865.5316323733,26745.0177871743,28500.4035437646,28586.6471539474,23981.6708252377,35139.2348183003,26402.7488908256,27429.8576670628,22114.6427617831,21176.5707064687,20176.7261858785,22277.1620359573,27365.6012245995,18273.74032741,24523.4597458239,22685.3548122917,16289.9731638534,24006.0820783606,23849.2858004022,25900.7168878282,18250.1486347624,25827.5450688101,25961.5555891636,31525.2926903054,23137.4816164403,31168.4836552899,27200.3339261067,34064.0684616695,21935.8873782804,32266.7082781644,28810.1450777708,26721.3936815215,43562.7647018452,17513.0963564997,27331.124821501,30570.884312796
"O75131",11378.9511410833,11615.2028960764,8430.05512962467,16773.6095416874,5287.66474182453,7975.76402058713,6813.61824283709,4601.05603201844,4504.90250896542,6533.31534398587,8863.49541384632,4973.22871013335,8634.05934759208,4843.99147131381,5913.82432835349,3540.07908292339,5066.69354297173,9563.12358216602,5086.79311893064,7442.02170384165,5697.92444860418,7927.84237673292,8581.48172009767,4729.52602018807,5024.8437798208,6621.38329570015,6269.42460184496,4175.67332808906,8409.91028730088,5525.38629741312,10126.9079756371,8454.85096970375,4337.81231721964,6428.51735642958,7906.8126190916,6157.747657695,7686.04157686606,9157.58233756001,9512.65366840634,12229.945817209,6853.0965729712,13055.9594738275,12745.306435187,6269.3944486887,7480.03961329976,8055.57960381475,10967.2978707449,5677.67531289153,10506.2733080175,6430.76382815687,7757.57284652189,3825.97890050287,7123.37861270017,15587.6280233781,12018.6154933264,12263.8500231715,5041.28258912917,9711.31146900321,14107.8584117057,8534.59489588642,15668.9995991997,5677.19988211661,8903.30310945767,1782.37269111987,10423.3358992173,10885.8370091992,7586.49092700279,2819.44041187597,5211.08386377205
"Q96C90",8235.34194624486,5277.99253252194,4956.29855137342,4579.41585184898,7734.75943091406,6446.6961004902,4763.68872080617,3212.7224455613,2687.3583831764,8090.23617077046,5204.56421861842,250.96204119964,5459.74613649113,2637.49349400976,12415.7833225138,5860.78749060802,4363.22166651884,4718.82897049945,1753.14511132906,1562.58949318116,6219.21214064811,8599.41174209919,7502.1068386392,6650.08828594005,6493.25792968818,3282.94733157271,7475.3001773444,3153.9669468185,9058.37342596267,2944.48832023701,4621.89548703702,3852.92681289459,2748.73229288091,9069.62338371635,4990.67334042709,621.842488600899,4519.32724222305,5259.88554925779,3354.32451142203,4209.30167625184,6746.07373587785,5783.12142590478,5455.04833037512,8289.3685890843,6242.96648332983,4867.54200778198,6986.52262472406,6719.32995390973,7332.40022185389,4836.83790406393,11753.7008666007,6071.87416407121,4885.20308215837,4462.07199016728,8635.35084989805,5486.95999777112,4552.37553267354,12585.901824487,4818.31585069275,6631.54163598496,4163.50626570666,6727.1742801167,5760.94412758824,6529.18176151753,9505.46751998655,3800.50849530438,4497.37703372609,12236.9565676645,6899.73274707975
